title,Country.Name,year,status,type,target
Introduction of the Green Certificates System,Italy,1999,Ended,"Economic Instruments>Market-based instruments>Green certificates, Regulatory Instruments>Obligation schemes",Multiple RE Sources>Power
"100,000 Solar Houses (Gers) - National Programme for Providing Rural Areas with Electricity through the Utilization of Renewable Energy",Mongolia,1999,Ended,Economic Instruments>Direct investment,"Solar>Solar photovoltaic, Wind>Onshore, Hydropower"
WINDExchange,United States,1999,In Force,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Information and Education, Information and Education>Advice/Aid in Implementation, Economic Instruments>Fiscal/financial incentives, Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion","Wind>Onshore, Wind"
District Heating Classification,France,1999,In Force,Regulatory Instruments>Other mandatory requirements,Multiple RE Sources>CHP
National Rural Electrification Programme - Programa Nacional de Electrificação Rural,Brazil,1999,Superseded,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans","Multiple RE Sources>Power, Multiple RE Sources>CHP"
The Environmental Code,Sweden,1999,In Force,"Regulatory Instruments>Codes and standards, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments",Multiple RE Sources
Renewable Energy Commercialisation Programme,Australia,1999,Superseded,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Research programme >Technology development",Multiple RE Sources>All
National Plan on Sustainable Development,Luxembourg,1999,In Force,"Economic Instruments, Economic Instruments>Fiscal/financial incentives>Taxes, Policy Support, Policy Support>Strategic planning","Multiple RE Sources, Multiple RE Sources>All"
Climate Change Action Fund - Technology Early Action Measures (TEAM),Canada,1999,Ended,"Research, Development and Deployment (RD&D), Economic Instruments>Fiscal/financial incentives>Grants and subsidies",Multiple RE Sources>All
Energy Act,Switzerland,1999,In Force,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support>Strategic planning, Regulatory Instruments, Regulatory Instruments>Codes and standards","Multiple RE Sources>Power, Multiple RE Sources"
Fund for the Protection of the Environment (FPE),Luxembourg,1999,In Force,Policy Support,"Multiple RE Sources, Multiple RE Sources>All"
National Sustainable and Renewable Energy Programme (NSREP) 1999,Malawi,1999,In Force,"Economic Instruments, Economic Instruments>Direct investment","Solar, Solar Thermal, Wind, Bioenergy"
Seychelles Energy Policy,Seychelles,1999,Superseded,Policy Support>Institutional creation,Multiple RE Sources
Climate Change Action Fund,Canada,1999,Ended,"Economic Instruments>Fiscal/financial incentives, Policy Support, Research, Development and Deployment (RD&D), Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development",Multiple RE Sources>All
Renewable Energy Equity Fund,Australia,1999,Ended,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Loans, Research, Development and Deployment (RD&D)>Research programme >Technology development",Multiple RE Sources>All
Renewable Energy Services Programme (RESPRO),Ghana,1999,In Force,Economic Instruments>Direct investment>Infrastructure investments,Solar>Solar photovoltaic
Public Utilities Commission established,Belize,1999,In Force,"Regulatory Instruments, Policy Support>Institutional creation",Multiple RE Sources
Local Investment Programmes (LIP),Sweden,1998 (revised in 2003),Ended,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Direct investment>Funds to sub-national governments","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
General Environmental Law no. 05/98,Angola,1998 (June),In Force,"Regulatory Instruments, Regulatory Instruments>Codes and standards",Multiple RE Sources
Energy Policy White Paper 1998,Namibia,1998,In Force,"Policy Support, Policy Support>Strategic planning","Hydropower, Multiple RE Sources"
Open Sea Tests of Offshore Wave Power Device,Japan,1998,Ended,"Research, Development and Deployment (RD&D)>Research programme",Ocean>Wave
Technology Procurement Programme - Renewables,Sweden,1998,Ended,"Economic Instruments>Direct investment>Procurement rules, Research, Development and Deployment (RD&D)>Research programme >Technology development",Multiple RE Sources>Power
Renewable Energy Industry Programme (REIP),Australia,1998,Superseded,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Multiple RE Sources>All
Safeguarding the Future: Australias Response to Climate Change,Australia,1998,Ended,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Voluntary Approaches",Multiple RE Sources>All
Workforce Investment Act of 1998,United States,1998,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Multiple RE Sources
Tax and duty exemptions,Ghana,1998,In Force,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Taxes",Wind
Energy Policy 1998,Mozambique,1998,In Force,"Policy Support, Policy Support>Strategic planning","Bioenergy, Solar, Wind"
Distribution of competencies for energy between State and Regions,Italy,1998,In Force,Policy Support>Strategic planning,Multiple RE Sources
Net Metering for Small-scale PV,Denmark,1998,Ended,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Solar>Solar photovoltaic
Baltic Energy Efficiency Group (BEEG),Denmark,1998,Ended,"Policy Support>Strategic planning, Information and Education>Information provision, Policy Support>Institutional creation","Multiple RE Sources>CHP, Multiple RE Sources>All"
Energy Law Act,Poland,1997 (substantially amended in 2015),In Force,"Regulatory Instruments, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments>Obligation schemes","Wind, Bioenergy>Biomass for power, Geothermal, Hydropower, Multiple RE Sources, Multiple RE Sources>Power, Ocean, Solar"
Tax subsidies for power production based on renewable energy sources,Finland,1997 (modified 2007),Ended,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Taxes","Wind>Onshore, Bioenergy, Hydropower, Wind, Wind>Offshore"
New and renewable energy programme (Exec. Order 462),Philippines,1997 (modified 2000),In Force,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Wind, Ocean, Solar"
Promotion of New and Renewable Energy,Japan,1997 (last updated 2015),In Force,"Economic Instruments>Direct investment>Infrastructure investments, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Research programme >Technology development, Research, Development and Deployment (RD&D)>Research programme",Multiple RE Sources
Renewable Portfolio Standard -- Massachusetts,United States,"1997 (amended 2002, 2008)",In Force,"Regulatory Instruments>Codes and standards, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments>Obligation schemes",Multiple RE Sources>Power
Guaranteed Power Purchase Contracts,Sweden,1997,Superseded,"Regulatory Instruments, Regulatory Instruments>Other mandatory requirements",Multiple RE Sources>Power
General Electricity Law 54/1997,Spain,1997,Superseded,"Regulatory Instruments, Policy Support","Multiple RE Sources, Multiple RE Sources>Power"
Support for Deplyment of New and Renewable Energy,Japan,1997,Superseded,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Multiple RE Sources>All
Renewable Energy Investment Support Programme,Sweden,1997,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Wind, Bioenergy, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Hydropower, Multiple RE Sources"
Special Measures law for Promoting the Use of New Energy,Japan,1997,In Force,Regulatory Instruments,Multiple RE Sources>All
White Paper on renewable sources of energy,European Commission,1997,Superseded,Policy Support>Strategic planning,"Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Government Purchases of Electricity from Renewable Resources,Canada,1997,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Wind>Onshore, Bioenergy>Biomass for power, Hydropower, Multiple RE Sources>Power"
Subsidy for RD&D for New and Renewable Energy,Japan,1997,Superseded,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion",Multiple RE Sources>All
National Photovoltaic Rural Electrification Programme,Botswana,1997,In Force,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Loans","Solar Thermal, Solar>Solar photovoltaic"
Federal Building Codes for Renewable Energy Production,Germany,1997,In Force,"Regulatory Instruments>Codes and standards, Regulatory Instruments>Other mandatory requirements","Wind>Onshore, Bioenergy>Biomass for power, Multiple RE Sources>Power"
VIREG (the Flemish Agency for the Rational Use of Energy) subsidy,Belgium,1997,Ended,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Multiple RE Sources
GreenPower Scheme,Australia,1997,In Force,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Information and Education>Performance Label>Endorsement label, Regulatory Instruments>Auditing, Regulatory Instruments>Codes and standards",Multiple RE Sources>All
Vision 2016 of Botswana,Botswana,1996\n,In Force,"Policy Support, Policy Support>Strategic planning","Solar, Solar>Solar photovoltaic, Bioenergy, Multiple RE Sources, Multiple RE Sources>Power"
Botswana Energy Master Plan,Botswana,1996 (reviewed 2003),In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Policy Support>Strategic planning, Research, Development and Deployment (RD&D)>Research programme >Technology development","Solar>Solar photovoltaic, Multiple RE Sources>Power, Solar"
New and Renewable Energy Project for the Advancement of Women (PENRAF),Mali,"1996 (expanded 2001, 2003)",In Force,"Economic Instruments>Direct investment, Information and Education>Information provision","Solar, Bioenergy>Biomass for power"
Law on the Energy Sector (Ley de Régimen del Sector Eléctrico),Ecuador,1996 (Sep 18th),In Force,"Regulatory Instruments, Economic Instruments, Economic Instruments>Fiscal/financial incentives>Tax relief",Multiple RE Sources
General Electricity Law,El Salvador,1996 (Oct 25th),In Force,Regulatory Instruments,"Hydropower, Multiple RE Sources>Power, Geothermal>Power"
"Private Sector Power Generation Policy of Bangladesh, 1996",Bangladesh,1996,In Force,Policy Support,Multiple RE Sources>Power
Regulatory Energy Tax (Regulerende Energie Belasting - REB),Netherlands,1996,Superseded,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Taxes","Multiple RE Sources>All, Bioenergy>Co-firing with fossil fuels"
State Energy Program,United States,1996,In Force,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Information and Education, Information and Education>Advice/Aid in Implementation, Information and Education>Information provision","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
National Programme for Energy Development of States and Municipalities - PRODEEM,Brazil,1996,Ended,"Policy Support, Economic Instruments>Fiscal/financial incentives>Grants and subsidies",Solar>Solar photovoltaic
